a	Một
palmate	lòng bàn tay
palmated	có lòng bàn tay
palmately	lòng bàn tay
palmatifid	lòng bàn tay
palmer	cây cọ
palmetto	cây cọ lùn
palmiped	lòng bàn tay
palmist	người xem chỉ tay
palmistry	thuật xem tướng tay
palmitin	lòng bàn tay
palms	lòng bàn tay
palmy	lòng bàn tay
palmyra	cây thốt nốt
palometa	cây cổ thụ
palomino	bạch tạng
palpability	khả năng sờ nắn
palpable	có thể sờ thấy
palpably	rõ ràng
palpation	sờ nắn
palpitate	đánh trống ngực
palpitation	đánh trống ngực
palpus	lòng bàn tay
palsgrave	mồ mả
palsied	bại liệt
palsy	bại liệt
palsystricken	bại liệt
palter	nhạt nhẽo
paltering	nói lung tung
paltriness	sự tầm thường
paltry	không đáng kể
paludal	nhạt nhẽo
pamlico	pamlico
pampas	đầm lầy
pamper	nuông chiều
pampered	chiều chuộng
pampering(a)	chiều chuộng(a)
pamphjlet	tờ rơi
pamphlet	sách mỏng
pamphleteer	người viết sách nhỏ
pan	chảo
panacea	thuốc chữa bách bệnh
panache	sự phô trương
panama	Pa-na-ma
panamanian	người panama
panamerican	người Panamerican
pananquin	bánh canh
panatela	panatela
panax	cây bách bệnh
pancake	bánh kếp
panchromatic	toàn sắc
pancreas	tuyến tụy
pancreatic	tuyến tụy
pancreatitis	viêm tụy
pancytopenia	giảm toàn thể huyết cầu
pandanaceae	họ dứa dại
pandanales	dứa dại
pandanus	cây sâm dứa
pandar	gấu trúc
pandean	quả dứa dại
pandect	đại dịch
pandemic	dịch bệnh
pandemonium	hỗn loạn
pander	ma cô
pandiculation	đại dịch
pandion	giáo chủ
pandionidae	họ gấu trúc
pandora	pandora
pandoras	pandoras
pandoz	pandoz
pandurate	quả bầu
pane	ngăn
paned	paned
panegyric	văn tế
panegyrical	văn tế
panegyrize	pangyrize
panel	bảng điều khiển
paneled	ốp
paneling	ốp tường
panelist	tham luận viên
panencephalitis	viêm não
panfish	cá tra
pang	đau đớn
pangaea	pangea
pangermanic	pangermanic
pangloss	tê tê
pangolin	con tê tê
pangs	đau đớn
panhandle	tay cầm của chảo
panhandler	người ăn xin
panharmonic	đa điều hòa
panhellenic	toàn thế giới
pani	pani
panic	hoảng loạn
panicky	hốt hoảng
panicle	chùy
panicled	hốt hoảng
paniculate	hốt hoảng
panicum	hoảng sợ
panier	người trông nom
panini	panini
panipat	panipat
pannel	bảng điều khiển
pannier	cái thúng
pannikin	pannikin
panofsky	toàn cảnh
panonychus	panonychus
panoplied	toàn cảnh
panoply	toàn cảnh
panoptic	toàn cảnh
panopticon	toàn cảnh
panorama	toàn cảnh
panoramic	toàn cảnh
panpipe	ống sáo
pansophy	toàn cảnh
pansy	păng-xê
pant	quần
pantaloon	quần tất
pantaloons	quần dài
pantechnicon	pantechnic
pantheist	người theo thuyết phiếm thần
pantheistic	thuyết phiếm thần
pantheon	đền
panther	con beo
panthera	con báo
pantie	quần lót
pantile	pantile
panting	thở hổn hển
pantingly	hổn hển
pantisocracy	chế độ toàn dân
panto	panto
pantograph	máy vẽ sao
pantologist	nhà pantologist
pantology	kho tàng học
pantometer	máy đo toàn cảnh
pantomime	kịch câm
pantomimic	kịch câm
pantomimist	diễn viên kịch câm
pantophagous	ăn thịt người
pantophagy	sự ăn thịt người
pantotheria	pantotheria
pantropical	toàn nhiệt đới
pantry	nhà bếp
pants	quần dài
pantyhose	quần tất
panurgy	nghi thức tế lễ
panzer	thiết giáp
pap	bố
papa	cha
papacy	giáo hoàng
papain	đu đủ
papal	giáo hoàng
papaver	người làm bánh bao
papaveraceae	họ đu đủ
papaverine	đu đủ
papaw	đu đủ
papaya	đu đủ
papeete	giấy cói
paper	giấy
paperback	bìa mềm
paperboard	bìa
paperboy	cậu bé bán báo
paperclip	Cái kẹp giấy
paperhanger	móc treo giấy
papering	dán giấy
papers	giấy tờ
paperweight	chặn giấy
paperwork	công việc giấy tờ
papery	như giấy
paphian	lan hài
paphiopedilum	lan hài
papier-mache	giấy bìa dùng để làm hộp
papiermache	giấy bìa dùng để làm hộp
papilionaceae	papilionaceae
papilionaceous	u nhú
papilionoideae	papilionoideae
papilla	nhú
papillary	nhú
papillate	nhú
papilloma	u nhú
papillon	nhú gai
papillose	u nhú
papillote	u nhú
papilose	có gai
papio	papio
papism	chủ nghĩa giáo hoàng
papist	giáo hoàng
papistry	hiệu sách
papoose	lông tơ
papovavirus	papovavirus
pappose	giáo hoàng
pappous	có lông
pappus	pappus
paprika	ớt cựa gà
paprilus	ớt cựa gà
papuan	papuan
papula	u nhú
papule	sẩn
papulous	có nhiều sẩn
papyrus	giấy cói
par	mệnh
para	cho
paraafin	paraafin
parable	truyện ngụ ngôn
parabola	hình parabol
parabolic	hình parabol
paraboloid	paraboloid
paraboloidal	hình paraboloid
paracentesis	Sự chọc
paracheirodon	paracheirodon
parachronism	chủ nghĩa cận thời
parachute	cái dù bay
parachutist	người nhảy dù
paraclete	người che chở
paracme	paracme
parade	cuộc diễu hành
paradiddle	thiên đường
paradigm	mô hình
paradigmatic	khuôn mẫu
paradisaeidae	họ thiên đường
paradise	thiên đường
paradisiacal	thiên đường
paradox	nghịch lý
paradoxical	nghịch lý
paradoxically	một cách nghịch lý
paradoxurus	nghịch lý
paraesthesia	dị cảm
paraffin	paraffin
paragon	mẫu mực
paragonite	paragonit
paragram	đoạn văn
paragraph	đoạn văn
paragrapher	người cắt đoạn văn
paraguay	paraguay
paraguayan	người paraguay
parakeet	vẹt đuôi dài
paralanguage	ngôn ngữ ẩn dụ
paralegal	trợ lý luật sư
paralelpsis	liệt nửa người
paralepsis	liệt nửa người
paralichthys	paralichthys
paralithodes	paralithode
parallax	thị sai
parallel	song song
parallelepiped	song song
parallelism	sự song song
parallelogram	hình bình hành
parallelopiped	hình bình hành
paralogism	thuyết nghị luận
paralogize	diễn ngôn
paralogy	mệnh đề
paralysis	bại liệt
paralytic	bại liệt
paralyticdyspeptic	chứng khó tiêu
paralyze	làm tê liệt
paralyzed	tê liệt
paramagnet	nam châm thuận
paramagnetic	thuận từ
paramagnetism	thuận từ
paramaribo	paramaribo
paramecium	thông số
paramedic	nhân viên y tế
parameter	tham số
parametric	tham số
paramilitary	bán quân sự
paramnesia	chứng mất trí nhớ
paramount	tối quan trọng
paramountcy	quyền lực tối cao
paramour	tình nhân
paramyxovirus	paramyxovirus
parana	parana
parang	dùi cui
paranoia	hoang tưởng
paranoid	hoang tưởng
paranomasia	hoang tưởng
paranormal	siêu linh
paranthias	hoang tưởng
paranthropus	chi nhân
parapet	lan can
paraph	diễn giải
paraphernalia	đồ dùng
paraphrase	diễn giải
paraphrast	diễn giải
paraphrastic	cách diễn đạt
paraphysis	cận thị
paraplegia	liệt nửa người
paraplegic	liệt nửa người
parapodium	parapodium
paraprofessional	trợ lý chuyên nghiệp
parapsychological	cận tâm lý học
parapsychologist	bác sĩ cận tâm lý
parasail	dù lượn
parasailing	dù lượn
parascalops	dù che nắng
parashurama	parashurama
parasitaxus	ký sinh trùng
parasite	ký sinh trùng
parasitic	ký sinh
parasitical	ký sinh
parasitically	ký sinh
parasitism	ký sinh trùng
parasol	dù che nắng
parasympathetic	phó giao cảm
parasympathomimetic	phó giao cảm
parathelypteris	parathelypteris
paratrooper	lính nhảy dù
paratroops	lính nhảy dù
paratus	paratus
paratyphoid	phó thương hàn
parazoa	động vật ký sinh
parbleu	parbleu
parboil	đồ luộc
parbuckle	cây bìm bịp
parcae	parcae
parcel	bưu kiện
parcels	bưu kiện
parcenary	người làm thuê
parcere	parcere
parch	phơi
parched	khô
parcheesi	giấy bạc
parchment	giấy da
parcity	chẵn lẻ
pardon	xin thứ lỗi
pardonable	có thể tha thứ
pardoner	người ân xá
pardonner	người xá tội
pardonnerfrench	tiếng Pháp
pardons	ân xá
pare	bóc vỏ
paregmenon	paregmenon
paregoric	lời tạm biệt
pareil	hộ chiếu
parenchyma	nhu mô
parendum	cuộc mang thai
parent	cha mẹ
parentage	huyết thống
parental	cha mẹ
parentally	cha mẹ
parented	làm cha mẹ
parenteral	tiêm
parenterally	ngoài đường tiêu hóa
parenthese	dấu ngoặc đơn
parenthesis	dấu ngoặc đơn
parenthetic	dấu ngoặc đơn
parenthetical	dấu ngoặc đơn
parenthetically	trong ngoặc đơn
parenthically	trong ngoặc đơn
parenthood	làm cha mẹ
parer	người so sánh
pares	pares
paresis	liệt
paresthesia	dị cảm
paretic	liệt
parfait	món tráng miệng
parget	món tráng miệng
pargeting	phân chia
parhelion	song song
pari	pari
pariah	người hạ đẳng
parian	người hạ đẳng
paribus	xe buýt nhỏ
paridae	họ paridae
paries	ngang nhau
parietal	thành
parietales	truyện cổ tích
parietaria	hội đồng bào
parietes	các đỉnh
parietibus	parietibus
parimutuel	parimutuel
paring	gọt
parings	gọt vỏ
paris	Paris
parish	giáo xứ
parishioner	giáo dân
parisian	người Paris
parisienne	Parisien
parisology	khoa học xã hội học
parit	ngang nhau
paritor	người thay thế
paritur	sự thay thế
parity	Ngang bằng
parium	ngang hàng
parjanya	parjanya
parji	parji
park	công viên
parka	áo khoác dù
parked	đậu
parkeriaceae	parkeriaceae
parkersburg	parkersburg
parkia	parkia
parking	bãi đậu xe
parkinson	bệnh parkinson
parkinsonia	parkinsonia
parl	phòng khách
parlance	cách nói
parlay	đánh cược
parlementaire	người phân xử
parler	người phân xử
parley	thương lượng
parliament	quốc hội
parliamentarian	nghị sĩ
parliamentary	quốc hội
parlor	phòng khách
parlormaid	hầu gái
parlous	tinh ranh
parmelia	parmelia
parmeliaceae	họ parmeliaceae
parmesan	pho mát parmesan
parnassia	parnassia
parnassus	parnassus
parochetus	cây dùi cui
parochial	giáo xứ
parochialism	chủ nghĩa địa phương
parochially	địa phương
parodist	người nhại lại
parody	Chế
parol	ân xá
parole	đặc xá
paroles	ân xá
parolles	ân xá
paronomasio	nói dối
paronychia	viêm màng não
paronymous	đồng nghĩa
parophrys	phép lạ
parotid	mang tai
parotitis	viêm tuyến mang tai
paroxysm	kịch phát
paroxysmal	kịch phát
parpeer	người đi ngang qua
parquet	sàn gỗ
parquetry	lát gỗ
parr	cha mẹ
parricide	kẻ giết cha
parrot	con vẹt
parrotfish	cá vẹt
parrotia	vẹt
parrotiopsis	vẹt đuôi dài
parrotlike	giống con vẹt
parrott	con vẹt
parry	đỡ đòn
pars	phân tích cú pháp
parse	phân tích cú pháp
parsec	phân tích cú pháp
parsee	phân tích cú pháp
parsiism	chủ nghĩa giáo hội
parsimonia	cây mùi tây
parsimonious	tiết kiệm
parsimoniousness	sự tiết kiệm
parsimony	tằn tiện
parsley	mùi tây
parsnip	củ cải vàng
parson	mục sư
parsonage	phân tích cú pháp
parsque	rau mùi tây
part	phần
part(a)	phần (a)
part-owner	Người đồng sỡ hữu
part-singing	hát một phần
part-time	bán thời gian
part-timer	người làm bán thời gian
partake	chia
partaker	người dự phần
partaking	dự phần
parte	chia tay
parted	chia tay
partem	chia tay
parterre	bàn ăn
parthenium	parthenium
parthenocissus	phân liệt
parthenogenesis	sinh sản đơn tính
parthenon	đền thờ
parthia	parthia
parthian	người Parthia
parthis	đảng phái
parti	chia tay
partial	một phần
partiality	thiên vị
partially	một phần
partialness	sự thiên vị
partibility	khả năng phân chia
partible	có thể phân biệt được
particeps	phân chia
participant	người tham gia
participate	tham gia
participation	sự tham gia
participator	người tham gia
participatory	có sự tham gia
participial	có sự tham gia
participle	phân từ
particle	hạt
particles	vật rất nhỏ
particula	hạt
particular	cụ thể
particular(a)	cụ thể (a)
particularism	chủ nghĩa cá biệt
particularistic	đặc thù
particularity	đặc thù
particularization	đặc biệt hóa
particularize	cụ thể hóa
particularized	đặc biệt
particularly	cụ thể
particulars	chi tiết
particulate	hạt
partie	bữa tiệc
partimony	chia tay
parting	chia ra
partisan	đảng phái
partisanship	đảng phái
partition	vách ngăn
partitioned	phân vùng
partitionist	người phân vùng
partitive	chia rẽ
partlet	phần nhỏ
partly	từng phần
partner	cộng sự
partnership	quan hệ đối tác
partout	chia tay
partria	người chia cắt
partridge	chim đa đa
partridgeberry	quả gà gô
parts	các bộ phận
partsong	phần bài hát
parturiency	sự đẻ non
parturient	sắp đẻ
parturition	sự đẻ
parturiunt	sinh nở
party	buổi tiệc
party(a)	bữa tiệc(a)
party-spirited	tinh thần tiệc tùng
partycolored	bữa tiệc đầy màu sắc
partygoer	người dự tiệc
parula	parula
parulidae	họ parulidae
parus	parus
parva	parva
parvati	parvati
parvenu	parvenu
parvis	parvis
parvitude	sự tuyệt chủng
parvity	đẻ non
parvo	parvo
parvovirus	vi rút parvo
parvum	parvum
parvumparvo	parvumparvo
pas	qua
pasadena	pasadena
pascal	pascal
pasch	lễ phục sinh
paschal	lễ phục sinh
pascit	pascit
pasfrench	tiếng pháp
pasha	tổng trấn
pashalic	pashalic
pashto	pashto
pasigraphie	ký tự
pasigraphy	thư tịch
pasiphae	pasiphae
pasqueflower	hoa bìm bìm
pasquinade	món pasquinade
pass	vượt qua
passable	có thể qua được
passably	tạm ổn
passado	passado
passage	đoạn văn
passages	đoạn văn
passageway	hành lang
passamaquody	passamaquody
passamezzoitalina	passamezzoitalina
passant	người qua đường
passant(ip)	người qua đường (ip)
passati	passati
passe	vượt qua
passe-partout	chia tay
passed	đi qua
passenger	hành khách
passepartout	người qua đường
passer	người qua đường
passerby	người qua đường
passeridae	họ sẻ
passeriformes	bộ Sẻ
passerina	chim sẻ
passerine	chim sẻ
passero	người qua đường
passetemps	temps passe
passibus	xe buýt
passiflora	thực vật thụ động
passifloraceae	họ đậu
passim	thụ động
passing	đi qua
passing(a)	vượt qua (a)
passion	niềm đam mê
passionate	say đắm
passionately	nhiệt tình
passionflower	niềm đam mê hoa
passionless	không đam mê
passionqueller	người đam mê
passions	đam mê
passive	thụ động
passively	một cách thụ động
passiveness	sự thụ động
passivity	thụ động
passkey	mật khẩu
passover	lễ vượt qua
passparole	hộ chiếu
passport	hộ chiếu
passu	passu
password	mật khẩu
past	quá khứ
past(a)	mỳ ống)
pasta	mỳ ống
paste	dán
paste-up	dán lên
pasteboard	bìa cứng
pastel	phấn màu
pastern	cổ chân
pasteur	đồng cỏ
pasteurian	người chăn nuôi
pasteurization	thanh trùng
pasteurize	thanh trùng
pasteurized	thanh trùng
pasticcio	trò hề
pastiche	trò nhại
pasties	bánh ngọt
pastil	bột ngọt
pastille	bột nhão
pastime	sự tiêu khiển
pastinaca	mì ống
pastis	bánh ngọt
pastness	quá khứ
pastor	mục sư
pastoral	mục vụ
pastorale	mục sư
pastorate	mục sư
pastorship	mục sư
pastrami	thịt ba chỉ
pastry	bánh ngọt
pasturage	đồng cỏ
pasture	đồng cỏ
pasty	nhão
pasurage	cuộc dạo chơi
pat	vỗ nhẹ
pataca	pataca
patagonia	patagonia
patagonian	người bảo trợ
patas	pata
patch	vá
patchcord	dây cáp nối
patched	vá
patchily	loang lổ
patchiness	loang lổ
patching	vá
patchouli	Quảng hoắc hương
patchwork	chắp vá
patchy	loang lổ
pate	pate
patefaction	bảo hộ
patella	xương bánh chè
patellar	xương bánh chè
patellidae	da bánh chè
patent	bằng sáng chế
patented	được cấp bằng sáng chế
patentee	người được cấp bằng sáng chế
pater	cha
patera	patera
paterfamilias	họ ngoại
paternal	gia đình
paternalism	chủ nghĩa gia trưởng
paternalistic	gia trưởng
paternally	gia đình
paternity	quan hệ cha con
paternoster	người làm cha
path	con đường
pathetic	đáng thương hại
pathetically	thảm hại
pathless	không lối đi
pathogen	tác nhân gây bệnh
pathogenesis	sinh bệnh học
pathogenically	gây bệnh
pathognomonic	bệnh đặc trưng
pathological	bệnh lý
pathologically	về mặt bệnh lý
pathology	bệnh học
pathos	bệnh hoạn
pathoscopic	soi bệnh
paths	con đường
pathway	con đường
patience	tính kiên nhẫn
patient	kiên nhẫn
patiently	kiên nhẫn
patimur	người bảo vệ
patina	lớp gỉ
patio	hiên nhà
patisserie	cửa hàng bánh ngọt
patitur	người bảo trợ
patois	yêu nước
patria	yêu nước
patriae	ái quốc
patrial	gia trưởng
patriarch	tộc trưởng
patriarchal	gia trưởng
patriarchate	chế độ gia trưởng
patriarchic	gia trưởng
patriarchs	tộc trưởng
patriarchy	chế độ gia trưởng
patricentric	phụ hệ
patrician	quý tộc
patricide	kẻ giết cha
patrick	patrick
patrilineage	phụ hệ
patrilineal	phụ hệ
patrilineally	phụ hệ
patrimony	di sản
patriot	nhà ái quốc
patriotic	yêu nước
patriotically	yêu nước
patriotism	lòng yêu nước
patristic	gia trưởng
patrol	tuần tra
patroller	người tuần tra
patrolling	tuần tra
patrolman	người tuần tra
patron	người bảo trợ
patronage	bảo trợ
patroness	người đỡ đầu
patronize	bảo trợ
patronized	bảo trợ
patronymic	tên đệm
